height_m,phase,frames,height_mae_mm,height_abs_error_p95_mm,height_bias_mm,planar_speed_mean_m_s,planar_speed_p95_m_s,net_force_max_n,non_wheel_net_contact_fraction,termination_resets,timeout_resets
0.28,all,6000,4.100410784284247,11.388584673404667,4.100410784284247,0.14074849276265528,0.28364330139206195,889.9859008789062,0.9841666666666666,0,3
0.28,initialization,603,3.346611666639817,19.104222655296287,3.346611666639817,0.05783778432715465,0.12669670276684025,657.6873779296875,0.8424543946932007,0,3
0.28,steady,5397,4.184631808545799,11.207247972488373,4.184631808545799,0.15001200159841716,0.2850413904023813,889.9859008789062,1.0,0,3
0.29,all,6000,1.1812415874004543,2.1759232878685206,1.0608176986376643,0.03570896839672305,0.07585958799749858,88.24407196044922,0.04783333333333333,0,3
0.29,initialization,603,3.748686173266635,17.64527320861818,2.5504385238856426,0.060064944694669095,0.158093879814408,88.24407196044922,0.4759535655058043,0,3
0.29,steady,5397,0.8943842434543161,1.5411472320556832,0.8943842434543161,0.032987705897619575,0.059690746128424746,0.0,0.0,0,3
0.3,all,6000,6.146923243999492,6.8151831626892205,6.146923243999492,0.1985936512401375,0.21926457284717632,0.0,0.0,0,3
0.3,initialization,603,7.670277544910448,14.415895938873298,7.670277544910448,0.1806688829588483,0.21675011911332964,0.0,0.0,0,3
0.3,steady,5397,5.976720790145628,6.73128366470338,5.976720790145628,0.20059636298251612,0.2193058724463958,0.0,0.0,0,3
0.31,all,6000,8.294565732280416,9.120976328849794,8.294565732280416,0.13697399606399582,0.17918297154876517,0.0,0.0,0,3
0.31,initialization,603,8.990605239251362,11.907418966293337,8.990605239251362,0.13301831826166663,0.20740191979634376,0.0,0.0,0,3
0.31,steady,5397,8.216798116437637,8.98813843727112,8.216798116437637,0.1374159589535279,0.17305808686474752,0.0,0.0,0,3
0.32,all,6000,6.243709295988076,6.265096664428704,6.243709295988076,0.049725333185457916,0.050295535439033624,0.0,0.0,0,3
0.32,initialization,603,6.163439509485089,7.539536356925957,6.163439509485089,0.04583022924898133,0.050762353801939365,0.0,0.0,0,3
0.32,steady,5397,6.252677737948666,6.258945465087884,6.252677737948666,0.050160528233391094,0.050271533225249763,0.0,0.0,0,3
