tag,window_start,window_end,count,finite_count,first_step,last_step,mean,std,min,max,slope_per_1000_updates
Train/mean_reward,901,1000,100,100,901,1000,93.34485214233399,0.5100319188800192,92.25631713867188,94.08455657958984,-9.73645979099863
Train/mean_reward,2401,2500,100,100,2401,2500,91.8350520324707,1.0156349222609924,89.87815856933594,93.16642761230469,-23.544328553949143
Train/mean_reward,4901,5000,100,100,4901,5000,93.16047706604004,0.4379661354945456,92.38308715820312,93.69929504394531,-7.25809224904424
Train/mean_reward,7401,7500,100,100,7401,7500,92.66921714782715,0.5183886373962837,91.59150695800781,93.25617218017578,-9.687807785295131
Train/mean_reward,9900,9999,100,100,9900,9999,92.06567039489747,0.6253469653906883,90.59598541259766,92.7391128540039,2.996051237814211
Train/mean_episode_length,901,1000,100,100,901,1000,1991.6052075195312,9.012202768675968,1972.8199462890625,1999.0,-173.4929235111011
Train/mean_episode_length,2401,2500,100,100,2401,2500,1999.0,0.0,1999.0,1999.0,0.0
Train/mean_episode_length,4901,5000,100,100,4901,5000,1993.7585949707031,5.998471062711024,1985.4599609375,1999.0,-82.42946584697532
Train/mean_episode_length,7401,7500,100,100,7401,7500,1995.5920043945312,6.339715416068283,1981.1800537109375,1999.0,-116.13664784447195
Train/mean_episode_length,9900,9999,100,100,9900,9999,1997.9573974609375,2.110352760042754,1993.1300048828125,1999.0,35.198296685137265
Policy/mean_std,901,1000,100,100,901,1000,0.2242708271741867,0.003698180963713085,0.21748915314674377,0.2316441535949707,0.12266081265776575
Policy/mean_std,2401,2500,100,100,2401,2500,0.2974036976695061,0.0064591452698346,0.28705236315727234,0.30690765380859375,0.2002107147479465
Policy/mean_std,4901,5000,100,100,4901,5000,0.2940058135986328,0.0023179240084770774,0.28925102949142456,0.29858773946762085,0.04275011758778569
Policy/mean_std,7401,7500,100,100,7401,7500,0.3407351741194725,0.004136420318156341,0.3314582109451294,0.34796142578125,-0.08331256784764704
Policy/mean_std,9900,9999,100,100,9900,9999,0.3761605730652809,0.002081441195544284,0.3722374439239502,0.3808112144470215,-0.027524275962847903
Tracking/vx_abs_error,901,1000,100,100,901,1000,0.12100367613136769,0.1440320886477991,0.024914829060435295,0.511284589767456,0.21286100133506866
Tracking/vx_abs_error,2401,2500,100,100,2401,2500,0.14700032379478217,0.14564611765069743,0.03358322009444237,0.5797762870788574,0.19701955710897362
Tracking/vx_abs_error,4901,5000,100,100,4901,5000,0.12125668797641992,0.13191862304076232,0.03378913551568985,0.48580798506736755,0.06210385199480858
Tracking/vx_abs_error,7401,7500,100,100,7401,7500,0.12568664845079183,0.12607822758654064,0.040131814777851105,0.49456557631492615,-0.04368098058698411
Tracking/vx_abs_error,9900,9999,100,100,9900,9999,0.13130831710994242,0.12073113105585002,0.04445619508624077,0.46721646189689636,-0.10389629312188212
Tracking/wz_abs_error,901,1000,100,100,901,1000,0.08170638792216778,0.02858695204611569,0.06310616433620453,0.16069380939006805,0.06133219343994317
Tracking/wz_abs_error,2401,2500,100,100,2401,2500,0.10756033256649972,0.03090509212248166,0.07183323800563812,0.18903696537017822,0.3115595730975552
Tracking/wz_abs_error,4901,5000,100,100,4901,5000,0.0940621666610241,0.026332345454426295,0.07749464362859726,0.16337856650352478,0.006421803802189231
Tracking/wz_abs_error,7401,7500,100,100,7401,7500,0.09927335053682328,0.021732567642426856,0.08225792646408081,0.15818604826927185,-0.0415305309098224
Tracking/wz_abs_error,9900,9999,100,100,9900,9999,0.11286807060241699,0.02052327876969626,0.0930221900343895,0.16465172171592712,0.09122854331717849
Tracking/height_abs_error,901,1000,100,100,901,1000,0.0024398614943493156,0.0008663849522246063,0.0015789379831403494,0.005457173101603985,0.0012358228249618984
Tracking/height_abs_error,2401,2500,100,100,2401,2500,0.004252351131290197,0.0013903479969358367,0.0020647200290113688,0.008053548634052277,0.02590976226845733
Tracking/height_abs_error,4901,5000,100,100,4901,5000,0.0026595616340637208,0.0007570456586565633,0.001871416112408042,0.005542393773794174,0.002739646388488849
Tracking/height_abs_error,7401,7500,100,100,7401,7500,0.0029158501909114422,0.000772319287504378,0.0020170477218925953,0.0058022416196763515,-0.005764582785650609
Tracking/height_abs_error,9900,9999,100,100,9900,9999,0.0029927877616137267,0.0006887548232259,0.0022230157628655434,0.00555026438087225,-0.002867958642276349
Command/standing_fraction,901,1000,100,100,901,1000,0.3011116632819176,0.012568008512796445,0.2694905698299408,0.32403564453125,0.11409932720099632
Command/standing_fraction,2401,2500,100,100,2401,2500,0.29915528386831286,0.010087387655159322,0.2869669795036316,0.33099365234375,0.15907499316644996
Command/standing_fraction,4901,5000,100,100,4901,5000,0.30033753395080565,0.014510692497622919,0.25726318359375,0.3258870542049408,-0.18224981215276984
Command/standing_fraction,7401,7500,100,100,7401,7500,0.29891989022493365,0.012003292259486405,0.2744547724723816,0.32672119140625,-0.023885855365722273
Command/standing_fraction,9900,9999,100,100,9900,9999,0.2985768729448319,0.010450083723495412,0.2789103388786316,0.3194173276424408,0.09402271258448326
Command/spin_bucket_fraction,901,1000,100,100,901,1000,0.09725830249488354,0.006803534056063068,0.0804239958524704,0.1099853515625,-0.03608540451601751
Command/spin_bucket_fraction,2401,2500,100,100,2401,2500,0.09989725954830647,0.007956863034877732,0.08203125,0.1122639998793602,0.03636582085330172
Command/spin_bucket_fraction,4901,5000,100,100,4901,5000,0.09694580294191837,0.007789825747220117,0.0804646834731102,0.109375,0.017982273399740446
Command/spin_bucket_fraction,7401,7500,100,100,7401,7500,0.0989978052675724,0.006471747602822371,0.0827229842543602,0.1128336638212204,0.004551484711421277
Command/spin_bucket_fraction,9900,9999,100,100,9900,9999,0.09841430895030498,0.008043164926143079,0.0806681364774704,0.11688232421875,-0.1103880043381011
Command/height_low_endpoint_fraction,901,1000,100,100,901,1000,0.16300679951906205,0.00974163646336217,0.1425374448299408,0.1796875,-0.19777207323784518
Command/height_low_endpoint_fraction,2401,2500,100,100,2401,2500,0.1505041553080082,0.006075800976207176,0.1333211362361908,0.16455078125,0.12477906310733576
Command/height_low_endpoint_fraction,4901,5000,100,100,4901,5000,0.15701355457305907,0.007912670878585548,0.1407674252986908,0.1742757260799408,-0.10437190031955237
Command/height_low_endpoint_fraction,7401,7500,100,100,7401,7500,0.14807556591928006,0.01026026024979115,0.12322998046875,0.1742960661649704,-0.10421685219490595
Command/height_low_endpoint_fraction,9900,9999,100,100,9900,9999,0.1544319708645344,0.010745195477786197,0.1306355893611908,0.1806640625,0.11234035398593151
Command/height_high_endpoint_fraction,901,1000,100,100,901,1000,0.14255900554358958,0.007926233009183282,0.1247762069106102,0.159912109375,-0.024547361188417004
Command/height_high_endpoint_fraction,2401,2500,100,100,2401,2500,0.148023279607296,0.010852899935815912,0.1266072690486908,0.1748860776424408,0.04646291201299924
Command/height_high_endpoint_fraction,4901,5000,100,100,4901,5000,0.1552170866727829,0.0139894931371225,0.125244140625,0.1828409880399704,0.16476708706026852
Command/height_high_endpoint_fraction,7401,7500,100,100,7401,7500,0.14740580767393113,0.011054356478566854,0.1298828125,0.1738077849149704,-0.07893208283545411
Command/height_high_endpoint_fraction,9900,9999,100,100,9900,9999,0.14617879688739777,0.01050445029575198,0.1291707456111908,0.1727498471736908,-0.11761505128812975
Diagnostic/non_wheel_contact,901,1000,100,100,901,1000,0.060709230154752734,0.01617491993153564,0.0346883162856102,0.09979248046875,-0.21669599178707935
Diagnostic/non_wheel_contact,2401,2500,100,100,2401,2500,0.06317667845636606,0.017089162482157843,0.0349934920668602,0.1131998747587204,0.4704547890297402
Diagnostic/non_wheel_contact,4901,5000,100,100,4901,5000,0.04109456513077021,0.006420470731613693,0.02773030661046505,0.0611775740981102,0.03453958572799151
Diagnostic/non_wheel_contact,7401,7500,100,100,7401,7500,0.06858541067689657,0.010794045216198539,0.04144287109375,0.08990478515625,0.1794726618401038
Diagnostic/non_wheel_contact,9900,9999,100,100,9900,9999,0.06889852117747068,0.0068173601244214755,0.0494384765625,0.0882771834731102,0.04651466404089796
Contact/non_wheel_force_n,901,1000,100,100,901,1000,9.504676938056946,3.1735482913734976,5.040254592895508,19.00692367553711,-18.43575962305856
Contact/non_wheel_force_n,2401,2500,100,100,2401,2500,10.844441089630127,2.497405183994202,6.3635382652282715,18.651084899902344,48.9409311033032
Contact/non_wheel_force_n,4901,5000,100,100,4901,5000,8.054702982902526,1.6814175494891477,5.153506278991699,13.402586936950684,3.5627948619065397
Contact/non_wheel_force_n,7401,7500,100,100,7401,7500,15.115800809860229,2.382584115637825,9.87088394165039,20.12036895751953,43.69494955209937
Contact/non_wheel_force_n,9900,9999,100,100,9900,9999,18.756878089904784,2.112835449900124,12.358187675476074,24.869253158569336,15.513652878196753
Reward/zero_command_translation,901,1000,100,100,901,1000,-0.00037386872951174156,0.0003372474567237006,-0.0013857877347618341,-0.00016328638594131917,-0.0006093148054709301
Reward/zero_command_translation,2401,2500,100,100,2401,2500,-0.00042600692817359233,0.0003494718970427692,-0.0015331048052757978,-0.0001799023011699319,-0.00020958892392981533
Reward/zero_command_translation,4901,5000,100,100,4901,5000,-0.00038206307610380466,0.00030894636794021106,-0.0013763889437541366,-0.0001855655573308468,0.00015631762194270326
Reward/zero_command_translation,7401,7500,100,100,7401,7500,-0.00041226679488318044,0.00031082717840813783,-0.0013345442712306976,-0.0002040880499407649,0.00025983767821058113
Reward/zero_command_translation,9900,9999,100,100,9900,9999,-0.0004443552477459889,0.0002864093530204256,-0.0012812637723982334,-0.00023935348144732416,0.00013656353420026646
Diagnostic/tilt,901,1000,100,100,901,1000,0.00034566243975859835,0.0008023821187254295,0.0,0.0032145183067768812,-0.001188229208003637
Diagnostic/tilt,2401,2500,100,100,2401,2500,1.0986328597937244e-05,5.166361733258064e-05,0.0,0.0003458659048192203,-0.0002658957392138328
Diagnostic/tilt,4901,5000,100,100,4901,5000,9.684244852905976e-05,0.0002803503894799021,0.0,0.0009765625,-0.0005964951930510025
Diagnostic/tilt,7401,7500,100,100,7401,7500,0.00042236329332808966,0.0005610671279102126,0.0,0.0039265952073037624,0.005678058266483931
Diagnostic/tilt,9900,9999,100,100,9900,9999,0.00012817383074434474,0.00027662538551128014,0.0,0.001220703125,0.0013443727366262454
Termination/tilt,901,1000,100,100,901,1000,8.138021075865254e-07,3.986799830377053e-06,0.0,2.0345052689663135e-05,1.953320390246686e-06
Termination/tilt,2401,2500,100,100,2401,2500,0.0,0.0,0.0,0.0,0.0
Termination/tilt,4901,5000,100,100,4901,5000,6.103515806898941e-07,3.470606001306461e-06,0.0,2.0345052689663135e-05,-5.249548548787966e-06
Termination/tilt,7401,7500,100,100,7401,7500,6.103515806898941e-07,3.470606001306461e-06,0.0,2.0345052689663135e-05,2.0143616524418943e-05
Termination/tilt,9900,9999,100,100,9900,9999,2.0345052689663135e-07,2.0243071833487075e-06,0.0,2.0345052689663135e-05,-1.3429077682945965e-06
Termination/nonfinite,901,1000,100,100,901,1000,0.0,0.0,0.0,0.0,0.0
Termination/nonfinite,2401,2500,100,100,2401,2500,0.0,0.0,0.0,0.0,0.0
Termination/nonfinite,4901,5000,100,100,4901,5000,0.0,0.0,0.0,0.0,0.0
Termination/nonfinite,7401,7500,100,100,7401,7500,0.0,0.0,0.0,0.0,0.0
Termination/nonfinite,9900,9999,100,100,9900,9999,0.0,0.0,0.0,0.0,0.0
Reward/action_rate,901,1000,100,100,901,1000,-0.00010708459478337318,1.499548382990446e-05,-0.00015419692499563098,-9.216685430146754e-05,-0.00015802173085198892
Reward/action_rate,2401,2500,100,100,2401,2500,-0.00016717132355552168,1.4811271754480792e-05,-0.00020724954083561897,-0.0001461446372559294,-0.00025650585406120926
Reward/action_rate,4901,5000,100,100,4901,5000,-0.00016751461240346543,9.679065291854233e-06,-0.00019509349658619612,-0.0001563975674798712,4.058691756179496e-05
Reward/action_rate,7401,7500,100,100,7401,7500,-0.00021782853204058484,1.2077325123688017e-05,-0.0002486598677933216,-0.00019998538482468575,8.496119420860325e-05
Reward/action_rate,9900,9999,100,100,9900,9999,-0.000266053925442975,1.971013616393662e-05,-0.00037140370113775134,-0.00025083261425606906,-7.521775831263585e-05
Reward/effort,901,1000,100,100,901,1000,-5.2658216009149325e-05,8.858390694748001e-06,-7.687822653679177e-05,-4.580024688038975e-05,-3.858421531489397e-05
Reward/effort,2401,2500,100,100,2401,2500,-6.059309496777132e-05,8.61868059679681e-06,-8.307764073833823e-05,-5.321127173374407e-05,-4.7249699687583e-05
Reward/effort,4901,5000,100,100,4901,5000,-6.282970291067613e-05,7.686284989466019e-06,-8.379454811802134e-05,-5.64990405109711e-05,6.198207102059317e-07
Reward/effort,7401,7500,100,100,7401,7500,-6.976290373131633e-05,7.671590922470903e-06,-8.978405821835622e-05,-6.257202767301351e-05,6.125665608175412e-06
Reward/effort,9900,9999,100,100,9900,9999,-7.736359526461456e-05,7.561157700556485e-06,-9.757558291312307e-05,-7.1205387939699e-05,-1.0583142397820198e-05
Diagnostic/base_visual_bounds_ground,901,1000,100,100,901,1000,0.0005806477972873836,0.0009904987026379264,0.0,0.00482177734375,0.005761806688599892
Diagnostic/base_visual_bounds_ground,2401,2500,100,100,2401,2500,0.015574341287720016,0.011389402398478974,0.0,0.0412394218146801,0.23798608721668132
Diagnostic/base_visual_bounds_ground,4901,5000,100,100,4901,5000,0.00011494954625959508,0.0002985441474410287,0.0,0.0009765625,-0.0003636838596205495
Diagnostic/base_visual_bounds_ground,7401,7500,100,100,7401,7500,0.0013387044505179801,0.0013272772873543796,0.0,0.00640869140625,-0.005184844766425968
Diagnostic/base_visual_bounds_ground,9900,9999,100,100,9900,9999,0.0028436279867310077,0.0014522202587018865,0.0,0.005106608383357525,0.00177031908725815
Diagnostic/low_height,901,1000,100,100,901,1000,4.109700559638441e-05,0.00020681983936303086,0.0,0.00152587890625,-0.00020607529828945806
Diagnostic/low_height,2401,2500,100,100,2401,2500,0.0,0.0,0.0,0.0,0.0
Diagnostic/low_height,4901,5000,100,100,4901,5000,2.705891994992271e-05,0.00012764165473832173,0.0,0.0009765625,0.00012708790288042717
Diagnostic/low_height,7401,7500,100,100,7401,7500,4.7200521621562074e-05,0.0001898506280605597,0.0,0.0009765625,0.0015279848755542606
Diagnostic/low_height,9900,9999,100,100,9900,9999,0.0002882893959576904,0.0005805085993683655,0.0,0.0024210612755268812,-0.006087400883401118
